# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458360.80282 15.363 0.002 2
2458361.77918 15.356 0.001 1
2458361.78010 15.341 0.001 2
2458361.79894 15.348 0.002 2
2458362.83302 15.362 0.001 2
2458362.84550 15.365 0.001 2
2458362.86058 15.352 0.001 2
2458363.77576 15.346 0.001 2
2458363.79213 15.348 0.001 2
2458364.80039 15.349 0.001 2
2458364.80130 15.339 0.001 1
2458364.81999 15.349 0.001 2
2458364.85260 15.343 0.001 2
2458365.71104 15.355 0.001 2
2458365.84463 15.352 0.001 2
2458366.82676 15.365 0.001 2
2458366.84459 15.374 0.001 2
2458366.86052 15.347 0.001 2
2458367.82523 15.368 0.001 1
2458367.82717 15.349 0.001 2
2458367.85333 15.358 0.001 2
2458367.86107 15.360 0.001 2
2458368.78139 15.353 0.001 2
2458368.80180 15.355 0.001 2
2458368.81867 15.348 0.001 2
2458369.69601 15.355 0.001 2
2458369.87363 15.350 0.001 2
2458370.75729 15.361 0.001 2
2458370.77957 15.369 0.001 2
2458370.78048 15.356 0.001 1
2458370.79993 15.379 0.001 2
2458371.67728 15.365 0.001 2
2458371.80224 15.351 0.001 2
2458371.81886 15.361 0.001 2
2458372.80713 15.351 0.001 2
2458372.81967 15.352 0.001 2
2458372.83987 15.359 0.001 2
2458373.77976 15.358 0.001 2
2458373.78067 15.360 0.001 1
2458373.80271 15.362 0.001 2
2458373.81902 15.371 0.001 2
2458374.84998 15.378 0.001 2
2458374.86193 15.376 0.001 2
2458375.69509 15.358 0.001 2
2458375.84900 15.348 0.001 2
2458376.71245 15.382 0.001 2
2458376.71336 15.362 0.001 1
2458376.84842 15.353 0.001 2
2458377.69356 15.352 0.001 2
2458377.78217 15.355 0.001 2
2458377.80275 15.364 0.001 2
2458378.73730 15.358 0.002 2
2458378.75790 15.359 0.001 2
2458378.78134 15.364 0.001 2
2458379.75657 15.353 0.001 2
2458379.77799 15.361 0.001 2
2458379.80105 15.352 0.001 2
2458379.81341 15.365 0.001 1
2458380.77873 15.343 0.002 2
2458380.80137 15.335 0.002 2
2458382.67223 15.368 0.002 2
2458382.80694 15.356 0.002 2
2458382.80786 15.367 0.002 1
2458382.82584 15.359 0.002 2
2458383.80530 15.380 0.002 2
2458383.81961 15.376 0.002 2
2458383.84472 15.362 0.002 2
2458384.69532 15.346 0.003 2
2458385.73479 15.353 0.002 2
2458385.73849 15.341 0.002 1
2458385.73941 15.378 0.002 2
2458385.77583 15.355 0.003 2
2458386.75156 15.367 0.003 2
2458386.75800 15.367 0.002 2
2458386.78448 15.367 0.003 2
2458387.63282 15.366 0.002 2
2458387.67210 15.384 0.002 2
2458388.73333 15.359 0.002 2
2458388.73960 15.369 0.002 1
2458388.74104 15.368 0.002 2
2458388.75584 15.378 0.002 2
2458389.73812 15.384 0.002 2
2458389.76426 15.345 0.002 2
2458389.77658 15.335 0.002 2
2458390.67378 15.367 0.001 2
2458390.69373 15.368 0.001 2
2458390.73428 15.336 0.002 2
2458400.69087 15.375 0.001 1
2458400.69178 15.373 0.001 2
2458400.71080 15.363 0.001 2
2458400.71429 15.368 0.001 2
2458423.62728 15.381 0.002 2
2458423.63012 15.371 0.002 1
2458423.63103 15.370 0.002 2
2458424.61128 15.336 0.007 2
2458424.74246 15.361 0.004 2
2458425.60774 15.385 0.003 2
2458425.61161 15.357 0.002 2
2458425.71917 15.392 0.005 2
2458426.58845 15.423 0.009 2
2458426.61098 15.374 0.004 2
2458426.61190 15.385 0.009 1
2458426.64693 15.362 0.003 2
2458427.58832 15.370 0.002 2
2458427.61078 15.372 0.002 2
2458427.71860 15.377 0.015 2
2458428.58876 15.369 0.002 2
2458428.60930 15.376 0.002 2
2458428.74025 15.377 0.002 2
2458429.58792 15.381 0.001 2
2458429.63291 15.367 0.001 1
2458429.63383 15.365 0.001 2
2458430.58800 15.359 0.002 2
2458430.67725 15.365 0.001 2
2458430.69394 15.374 0.001 2
2458431.66684 15.359 0.002 2
2458431.67181 15.343 0.003 2
2458432.58897 15.367 0.002 2
2458432.61234 15.371 0.002 2
2458432.61325 15.369 0.002 1
2458432.63429 15.364 0.002 2
2458433.59172 15.369 0.002 2
2458433.60939 15.357 0.002 2
2458434.67593 15.352 0.002 2
2458434.71027 15.360 0.002 2
2458435.57579 15.319 0.004 2
2458435.58989 15.358 0.002 2
2458436.58735 15.339 0.009 2
2458436.60972 15.429 0.008 2
2458438.73895 15.355 0.025 1
2458456.64354 15.369 0.003 1
2458472.59551 15.365 0.002 1
2458475.63702 15.372 0.003 1
2458482.59777 15.391 0.003 1
2458488.60239 15.420 0.012 1
2458492.61073 15.292 0.087 1
2458574.01105 15.369 0.002 2
2458574.01592 15.399 0.003 2
2458574.02078 15.363 0.003 2
2458574.02566 15.403 0.004 2
2458574.98677 15.349 0.010 1
2458582.96381 15.362 0.002 1
2458593.94591 15.365 0.004 1
2458601.99161 15.354 0.003 1
2458607.98672 15.361 0.001 1
2458628.98242 15.359 0.002 1
2458634.93634 15.376 0.001 1
2458637.93676 15.357 0.001 1
2458640.96847 15.363 0.001 1
2458643.97710 15.359 0.001 1
2458645.83079 15.368 0.002 2
2458646.80538 15.359 0.008 2
2458646.96646 15.351 0.001 1
2458646.96742 15.369 0.001 2
2458646.98272 15.352 0.002 2
2458652.92529 15.377 0.003 1
2458655.90002 15.369 0.003 1
2458658.90394 15.368 0.001 1
2458661.92895 15.366 0.001 1
2458663.85408 15.371 0.002 2
2458663.92848 15.354 0.002 2
2458665.94056 15.372 0.001 1
2458667.80759 15.355 0.001 2
2458668.86168 15.361 0.001 1
2458669.92232 15.360 0.001 2
2458671.92067 15.370 0.002 1
2458672.98317 15.364 0.001 2
2458674.97042 15.373 0.001 1
2458675.77904 15.361 0.002 2
2458677.77983 15.358 0.002 2
2458677.79964 15.344 0.002 1
2458678.98793 15.368 0.001 2
2458679.98562 15.364 0.002 2
2458680.82100 15.352 0.003 1
2458683.90609 15.366 0.002 1
2458686.81807 15.365 0.002 1
2458688.90289 15.390 0.001 2
2458691.89772 15.358 0.001 2
2458692.84174 15.374 0.001 2
2458693.86303 15.366 0.001 1
2458693.86400 15.379 0.001 2
2458695.84368 15.352 0.001 2
2458696.86750 15.346 0.001 2
2458696.86840 15.358 0.001 1
2458697.90501 15.373 0.001 2
2458698.90868 15.365 0.001 2
2458699.87973 15.360 0.001 2
2458700.92022 15.377 0.001 2
2458701.89061 15.368 0.001 2
2458702.89327 15.344 0.002 2
2458703.91083 15.372 0.001 2
2458703.91175 15.372 0.001 1
2458705.67678 15.366 0.002 2
2458706.89958 15.367 0.001 1
2458706.90051 15.355 0.002 2
2458707.69061 15.370 0.002 2
2458709.00911 15.357 0.002 2
2458710.67572 15.346 0.003 1
2458711.67553 15.377 0.003 1
2458711.90889 15.375 0.003 2
2458713.67541 15.444 0.009 1
2458714.67573 15.366 0.001 1
2458715.75893 15.372 0.002 1
2458716.78002 15.365 0.001 1
2458717.75903 15.364 0.001 1
2458717.81985 15.361 0.002 2
2458718.78025 15.361 0.001 1
2458719.75924 15.376 0.002 1
2458719.87706 15.366 0.002 2
2458720.77998 15.370 0.001 1
2458720.87757 15.386 0.002 2
2458721.75920 15.346 0.003 1
2458722.75915 15.375 0.001 1
2458722.81247 15.379 0.002 2
2458723.78397 15.372 0.001 1
2458723.88068 15.363 0.001 2
2458724.78404 15.353 0.001 1
2458725.75794 15.388 0.001 1
2458726.75899 15.359 0.001 1
2458727.78384 15.369 0.001 1
2458730.75936 15.356 0.001 1
2458730.89448 15.385 0.001 2
2458732.75827 15.378 0.001 1
2458733.75787 15.368 0.001 1
2458734.75917 15.359 0.002 1
2458734.83558 15.376 0.002 2
2458735.75786 15.372 0.002 1
2458735.82147 15.375 0.002 2
2458736.76808 15.407 0.002 1
2458737.78338 15.358 0.002 1
2458743.84589 15.363 0.003 1
2458743.85707 15.367 0.003 2
2458744.87054 15.380 0.002 2
2458745.84220 15.356 0.002 2
2458747.76190 15.388 0.001 2
2458748.80005 15.368 0.003 2
2458748.81851 15.387 0.001 2
2458749.77216 15.355 0.001 2
2458749.77844 15.387 0.001 2
2458750.76778 15.382 0.002 2
2458750.78498 15.360 0.002 2
