# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2459393.92648 15.049 0.002 2
2459396.86699 14.988 0.002 2
2459399.86848 14.872 0.002 2
2459402.87193 14.670 0.003 2
2459405.91472 14.939 0.002 2
2459410.82465 14.853 0.002 2
2459415.73693 14.772 0.003 2
2459422.84891 14.554 0.002 2
2459425.84933 14.503 0.004 2
2459428.78599 14.346 0.002 2
2459434.89079 13.986 0.002 2
2459438.92986 13.911 0.002 2
2459442.76923 14.014 0.002 2
2459446.81532 14.249 0.002 2
2459449.78045 14.333 0.003 2
2459452.87908 14.511 0.002 2
2459458.80902 14.714 0.002 2
2459461.83255 14.800 0.002 2
2459464.70626 14.850 0.002 2
2459467.83143 14.912 0.002 2
2459471.68097 14.959 0.003 2
2459474.70111 14.997 0.002 2
2459477.70375 15.038 0.003 2
2459480.74006 15.030 0.003 2
2459483.83829 15.075 0.002 2
2459487.79296 15.078 0.002 2
2459491.82577 15.092 0.002 2
2459494.81741 15.124 0.003 2
2459497.83139 15.118 0.003 2
2459502.79212 15.121 0.003 2
2459509.78122 15.127 0.003 2
2459512.74644 15.159 0.002 2
2459521.68657 15.130 0.002 2
2459524.70268 15.128 0.002 2
2459527.68233 15.184 0.003 2
2459530.65472 15.143 0.002 2
2459538.62228 15.214 0.004 2
2459542.64179 15.164 0.002 2
