# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458385.85764 15.899 0.006 2
2458385.86098 15.894 0.007 2
2458385.89239 15.921 0.009 2
2458386.63176 15.888 0.006 2
2458386.68557 15.888 0.005 2
2458387.71681 15.900 0.004 2
2458387.74382 15.906 0.005 2
2458387.75608 15.911 0.005 2
2458388.63308 15.896 0.002 2
2458388.63403 15.898 0.002 1
2458388.67052 15.919 0.004 2
2458388.80296 15.909 0.004 2
2458389.65253 15.887 0.002 2
2458389.71183 15.908 0.003 2
2458390.65159 15.906 0.002 2
2458400.64774 15.897 0.002 2
2458400.76161 15.915 0.002 1
2458400.77587 15.910 0.002 2
2458400.77804 15.900 0.002 2
2458424.67426 15.926 0.003 2
2458425.63186 15.919 0.004 2
2458425.66613 15.929 0.004 2
2458425.67164 15.918 0.003 2
2458426.65316 15.900 0.004 2
2458426.68502 15.909 0.003 1
2458426.68651 15.913 0.003 2
2458426.70570 15.913 0.003 2
2458427.66443 15.917 0.003 2
2458427.67748 15.923 0.014 2
2458428.66948 15.922 0.002 2
2458428.67073 15.918 0.002 2
2458428.69218 15.917 0.002 2
2458429.66863 15.908 0.002 2
2458429.68749 15.926 0.002 1
2458429.68840 15.911 0.002 2
2458429.70637 15.920 0.002 2
2458430.64379 15.900 0.002 2
2458430.65264 15.907 0.002 2
2458431.60459 15.890 0.004 2
2458431.62554 15.907 0.003 2
2458431.72244 15.921 0.004 2
2458432.65160 15.915 0.002 1
2458432.65341 15.921 0.002 2
2458432.67200 15.922 0.002 2
2458433.64667 15.905 0.004 2
2458433.66734 15.922 0.003 2
2458433.67624 15.931 0.004 2
2458434.64086 15.917 0.003 2
2458434.66729 15.903 0.003 2
2458435.65306 15.897 0.003 1
2458435.66520 15.906 0.003 2
2458435.67505 15.921 0.003 2
2458435.69424 15.903 0.003 2
2458436.65022 15.920 0.004 2
2458436.66990 15.919 0.005 2
2458469.60938 15.918 0.003 1
2458472.66110 15.934 0.006 1
2458482.61994 15.918 0.004 1
2458488.63239 15.871 0.004 1
2458575.02315 15.951 0.029 1
2458594.00213 15.896 0.013 1
2458617.96623 15.899 0.002 1
2458628.96356 15.905 0.004 1
2458634.95137 15.897 0.002 1
2458637.95554 15.910 0.002 1
2458640.95150 15.901 0.002 1
2458643.94575 15.884 0.002 1
2458645.92567 15.900 0.002 2
2458645.94201 15.903 0.002 2
2458646.90896 15.910 0.002 2
2458646.92382 15.900 0.002 1
2458646.92475 15.881 0.002 2
2458646.94517 15.940 0.002 2
2458649.97022 15.904 0.002 1
2458652.96344 15.910 0.005 1
2458655.80284 15.901 0.006 1
2458658.96399 15.896 0.003 1
2458663.98218 15.900 0.003 2
2458665.96461 15.907 0.002 1
2458666.96588 15.896 0.002 2
2458667.93695 15.904 0.002 2
2458667.94285 15.894 0.002 2
