 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 643 10 3 ZTF_r 503420893915 0 2.0623 131.592 5.51177 26.1915 1.4882e-06 0.0165419 0.0906849 4.18057e-06 2130 30. 0.051737 0.044131 20.6939 26.1915 2 2458257.9208912 643120239 95.2650520973876 25.6285457855581 4.13489462412957 6.42663208289759 -202.223847533522 41.4127381233705 -4.91601970811731 1.05750398476513 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 10 643 10 3 ZTF_r 503454363915 0 2.0524 135.186 5.29412 26.2215 1.1895e-06 0.0148227 0.0911382 3.31783e-06 2117 30. 0.043606 0.044192 20.8201 26.2215 2 2458257.9543634 643120239 -306.319716902018 23.3245804569323 -14.6088460449781 8.79555648500326 -67.7165344284957 40.3790788552106 -1.6883151155673 1.06487062778617 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 11 643 10 3 ZTF_r 503463323915 0 1.9325 135.486 5.20784 26.2239 1.0746e-06 0.0139933 0.091113 3.00996e-06 2115 30. 0.042827 0.04206 20.8898 26.2239 2 2458257.9633218 643120239 -104.189670129124 19.7466396480486 -5.86929939003427 4.39403266243735 122.283127904351 35.5246862259842 3.46538491637093 1.06320629310677 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 12 643 10 3 ZTF_r 503480793915 0 2.0223 136.654 6.06553 26.2316 1.2573e-06 0.0152729 0.0925526 3.50785e-06 2132 30. 0.046094 0.045275 20.6926 26.2316 2 2458257.9807986 643120239 -90.0040603005 25.8928554446992 -3.86666864138111 8.53320624640341 112.505784516822 44.0875520431933 2.56905888849502 1.07425933861698 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 13 643 10 3 ZTF_g 505426943915 0 2.6035 33.9088 4.40527 25.4412 8.7189e-06 0.0408801 -0.0186433 2.42149e-05 2122 30. 0.051311 0.042707 19.9669 25.4412 1 2458259.9269444 643120139 231.264611330262 25.3276580316874 10.1570817600452 1.40451441833523 313.039199990716 39.7479684072743 7.92864515197864 1.09079248038078 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 14 643 10 3 ZTF_r 505464523915 0 2.2592 110.793 5.16029 26.0048 1.9235e-06 0.0189336 0.0916089 5.37703e-06 2140 30. 0.047224 0.050759 20.5679 26.0048 1 2458259.9645255 643120239 30.9152089337747 24.1893871878744 1.42168087416847 3.97252052828969 38.4159692046589 39.4448648120509 0.980474978220636 1.07338484366979 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 15 643 10 3 ZTF_r 509378123915 0 3.2759 133.634 10.5435 26.2262 2.1466e-06 0.0198662 0.0925064 6.01098e-06 2111 30. 0.058636 0.05428 19.5539 26.2262 2 2458263.878125 643120239 -93.4988897216968 63.9174536025785 -1.62720320127246 1.35370724963643 123.972420157203 90.1591096638749 1.38430139788427 1.1236329060091 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 16 643 10 3 ZTF_r 509423373915 0 13.784 139.438 7.79529 26.2612 1.3577e-06 0.0158568 0.0959263 3.78682e-06 2126 30. 0.050109 0.052685 20.0658 26.2612 2 2458263.9233796 643120239 -240.454832403073 46.3780467782261 -5.76734400146492 3.54592665189384 236.491267225399 68.856037498811 3.45770767771492 1.12508202445094 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 17 643 10 3 ZTF_g 509445683915 0 4.5031 70.0893 4.54466 26.2567 2.0684e-06 0.0199818 -0.0302391 5.7323e-06 2132 30. 0.059327 0.049842 20.5924 26.2567 2 2458263.9456829 643120139 -167.516013475963 30.668913868468 -6.07592961764339 1.55818992292736 -81.9979497152973 44.4248833015446 -1.85819757958721 1.14061506896241 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 18 643 10 3 ZTF_g 509480773915 0 4.6226 72.1866 8.20735 26.2797 3.187e-06 0.0248004 -0.0146006 8.84205e-06 2123 30. 0.057162 0.05585 19.8515 26.2797 2 2458263.9807755 643120139 -273.002036913693 58.7937997870662 -5.16522398890453 1.37203170718538 10.474072623895 81.6824712464495 0.129092765494655 1.17130997100272 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 19 643 10 3 ZTF_r 512359143915 0 2.2836 126.611 14.0304 26.1848 1.7425e-06 0.0178523 0.079008 4.88707e-06 2129 30. 0.048418 0.045146 19.4069 26.1848 2 2458266.8591435 643120239 550.789216359447 67.8519023425136 9.02980146147389 1.39121312592225 7.37993529967521 118.058543415893 0.0629318249535701 1.04801565308703 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 20 643 10 3 ZTF_r 512388653915 0 1.9696 132.838 12.7188 26.2099 1.5484e-06 0.0169358 0.0865261 4.32057e-06 2132 30. 0.047013 0.039972 19.6863 26.2099 1 2458266.8886574 643120239 3.68125750457109 56.0642608777487 0.07304069510065 1.8664346006176 -56.9366988328687 101.201901800623 -0.566394205597855 1.05582505635254 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 21 643 10 3 ZTF_r 512389563915 0 2.0537 133.372 12.7249 26.2146 1.5941e-06 0.0171611 0.086767 4.46767e-06 2136 30. 0.045873 0.039256 19.6378 26.2146 2 2458266.8895602 643120239 -53.9890599160006 60.8902338793157 -0.986308837056384 1.2494171907222 64.0993464255618 109.466791352132 0.589503523530759 1.05524904227114 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 22 643 10 3 ZTF_g 512463693915 0 2.8462 70.4747 11.3476 26.2447 3.6786e-06 0.0267374 -0.0228232 1.01312e-05 2120 30. 0.048143 0.04753 19.5922 26.2447 2 2458266.9636921 643120139 -441.787640336069 67.8642431042198 -7.24148029148818 1.35649055546419 -116.094568979607 103.942394236054 -1.12443506271125 1.12097652926174 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 23 643 10 3 ZTF_g 512464613915 0 2.6496 70.1081 11.2631 26.2374 3.7373e-06 0.0267998 -0.0186147 1.03536e-05 2118 30. 0.04644 0.048884 19.6271 26.2374 1 2458266.9646181 643120139 -368.563244749201 63.3861067308329 -6.4680407324712 1.73915377723549 38.1478656061859 97.2463292887222 0.394922810524339 1.12060051456731 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 24 643 10 3 ZTF_g 512482803915 0 2.7195 70.5111 13.3665 26.2402 3.1174e-06 0.0245717 -0.0125333 8.60449e-06 2117 30. 0.044619 0.044387 19.5601 26.2402 2 2458266.9828009 643120139 -212.573599895967 71.0195714520904 -3.32955413960781 1.4545119378362 48.9964416317669 115.577372884948 0.426782805785566 1.10425347465418 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 25 643 10 3 ZTF_r 513370773915 0 2.5894 121.091 17.151 26.0756 1.06e-05 0.0442742 0.0743025 2.96382e-05 2125 30. 0.054075 0.08136 18.9987 26.0756 2 2458267.8707755 643120239 -1016.52092343014 84.9579471515011 -13.309664659488 1.74047068544715 -1009.17929997658 141.03759077494 -7.2035843426041 1.05669514482291 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 26 643 10 3 ZTF_r 513394583915 1 2.0221 37.8809 28.162 25.032 8.35857e-05 0.105166 0.111278 0.000216986 1333 30. 0.053715 0.060338 17.5581 25.032 2 2458267.8945833 643120239 750.002938750414 132.042812970598 6.31834008984427 1.0987137584418 290.822332827119 238.808321676266 1.2260085239745 1.05285762194309 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 27 643 10 3 ZTF_r 513412743915 0 2.4714 97.23 16.862 25.8831 1.47918e-05 0.0525782 0.0870725 4.10864e-05 2124 30. 0.055068 0.061528 18.8088 25.8831 2 2458267.9127431 643120239 -565.742608502556 93.8596380092211 -6.7049387472282 1.477734058548 -72.4815525214367 147.789362273247 -0.493741354759856 1.08372333872078 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 28 643 10 3 ZTF_g 513444883915 0 5.5585 70.4535 14.6932 26.2372 4.782e-06 0.0303466 -0.0143062 1.32454e-05 2114 30. 0.049978 0.060064 19.3183 26.2372 2 2458267.9448843 643120139 -292.339309762357 84.4671024100696 -3.84994408528491 1.15262296770023 341.955830759249 129.357185972417 2.6613049778867 1.11561303315501 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 29 643 10 3 ZTF_g 513482813915 0 14.7168 72.8095 15.9427 26.2782 5.844e-06 0.03338 -0.0172152 1.61992e-05 2100 30. 0.049467 0.053406 19.2646 26.2782 2 2458267.9828125 643120139 -249.188133648204 88.851513497691 -3.11973229332073 1.30954727502141 -78.9814136831803 133.278279919231 -0.596596520428621 1.14215648377346 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 30 643 10 3 ZTF_r 514397683915 0 2.5638 135.103 13.1896 26.2534 1.5333e-06 0.0167727 0.0681163 4.30084e-06 2133 30. 0.044652 0.043141 19.4674 26.2534 2 2458268.8976852 643120239 306.985188677665 66.2257579666046 5.15638439958716 2.43084315202235 -132.869756163 114.219322577101 -1.17112095044262 1.04030510588469 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 31 643 10 3 ZTF_r 514424453915 0 2.0022 138.846 12.2327 26.265 1.3618e-06 0.0158901 0.0813057 3.8162e-06 2143 30. 0.042813 0.037525 19.7547 26.265 2 2458268.924456 643120239 -56.9869459227293 52.0361262715375 -1.21821859646401 2.05508796904955 -177.972514669422 96.2570683337872 -1.86138195248215 1.04579622480725 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 32 643 10 3 ZTF_r 514441273915 0 1.7919 139.755 11.8014 26.2725 1.0577e-06 0.0140421 0.0797338 2.95259e-06 2138 30. 0.035895 0.038425 19.9113 26.2725 2 2458268.9412731 643120239 138.921603596879 49.6912794548237 3.10988557397002 3.21112987417796 -144.868795330968 94.4916060341813 -1.54346508778544 1.03790406350752 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 33 643 10 3 ZTF_g 514463653915 0 2.0042 71.3348 13.4082 26.2526 2.8297e-06 0.0234006 -0.0329906 7.82025e-06 2124 30. 0.039543 0.039185 19.6526 26.2526 2 2458268.9636574 643120139 -1.48804992857388 67.7441259279207 -0.0244343427050424 1.80419023546385 -19.5067074420999 116.64722828626 -0.168354503810806 1.0797577184238 0.632244111418845 15.9119998931885 0.0160000007599592 0.690999984741211 -0.0240000002086163 2458228.987153 2458286.940961 0
 34 643 10 3 ZTF_r 515380843915 0 3.3873 118.756 15.5209 26.0931 3.151e-06 0.0242303 0.0620862 8.78202e-06 2124 30. 0.051146 0.050416 18.9653 26.0931 2 2458269.8808449 643120239 -26.1262545004716 81.0074546609981 -0.358762438934333 2.20643637312322 -312.972404623069 127.154384637458 -2.47793493455534 1.04622276328205 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 35 643 10 3 ZTF_r 515412403915 0 2.2033 134.244 12.0881 26.2448 1.2291e-06 0.0150317 0.0744759 3.43236e-06 2132 30. 0.039834 0.039525 19.6485 26.2448 2 2458269.9124074 643120239 67.0382177690146 54.1628069138164 1.37681661422945 1.79117415347952 184.614289054781 98.3948290378554 1.88889679194245 1.0408725323927 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 36 643 10 3 ZTF_r 515422333915 0 2.129 138.359 11.3288 26.2771 9.569e-07 0.0133026 0.0749158 2.66902e-06 2132 30. 0.036659 0.040889 19.802 26.2771 2 2458269.922338 643120239 387.429817113178 50.4374720961423 8.54465497165878 2.99095484168737 83.6498560641596 92.4840298107201 0.910570644790147 1.04031887169041 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
 37 643 10 3 ZTF_r 515423263915 0 2.2067 139.398 11.0444 26.2848 9.809e-07 0.0134608 0.0766355 2.74237e-06 2131 30. 0.039596 0.03866 19.7902 26.2848 1 2458269.9232639 643120239 -2.1902057007188 48.943557357824 -0.0497787714791043 2.12334988737232 30.6258896043632 87.7556865107594 0.351340841361045 1.0438389758715 0.631026286983205 15.3689998626709 0.017000000923872 0.684000015258789 -0.0430000014603138 2458256.923276 2458283.979062 0
