2456987.59997	15.5
2457017.08436	untrusted
2457134.32278	15.49
2457134.39679	untrusted
2457161.82049	15.5
2457161.8945	15.47
2457190.3134	15.48
2457190.38742	untrusted
2457235.52034	15.51
2457235.77052	15.5
2457235.84453	15.48
2457236.02069	15.49
2457236.0947	15.48
2457236.27087	15.49
2457236.34487	15.48
2457236.52123	null
2457236.59537	null
2457236.84531	null
2457238.09628	null
2457238.34624	null
2457238.52238	15.48
2457238.5964	15.48
2457238.77256	15.48
2457238.84655	null
2457239.02273	15.49
2457239.09675	15.48
2457239.27291	15.49
2457292.6988	15.49
2457292.94896	15.49
2457293.02296	15.47
2457293.19911	15.48
2457293.27311	15.47
2457293.44927	15.48
2457293.52326	15.47
2457293.77343	15.46
2457295.52454	null
2457295.70061	15.48
2457295.77462	15.47
2457295.95076	15.48
2457296.02477	15.48
2457296.20093	15.49
2457296.27514	null
2457296.45108	15.49
2457366.71301	15.47
2457392.88214	15.49
2457392.95615	15.49
2457510.69635	15.49
2457510.87252	15.49
2457541.86251	null
2457541.93666	null
2457566.36028	null
2457566.43441	null
2457665.98595	null
2457666.05966	null
2457676.56399	null
2457676.7402	null
2457715.44771	null
2457715.52142	null
2457746.42961	null
2457746.50373	null
2457768.68031	null
2457768.75443	null
2457836.81366	null
2457837.06402	null
2457837.24023	null
2457837.31396	null
2457837.49019	null
2457837.56432	null
2457837.74054	null
2457837.81427	null
2457837.9905	null
2457838.06463	null
2457838.24084	null
2457838.31458	null
2457838.4908	null
2457838.56493	null
2457838.74116	null
2457838.81529	null
2457838.99111	null
2457839.06524	null
2457839.24146	null
2457839.3156	null
2457839.56554	null
2457839.8159	null
2457887.30329	null
2457921.71083	null
2457942.03693	null
2457942.21275	null
2458040.33277	null
2458040.40689	null
2458055.8351	15.49
2458091.30119	15.47
2458091.37519	untrusted
2458127.27976	15.46
2458127.35375	15.47
2458143.78525	15.49
2458143.85925	15.48
2458144.03541	15.48
2458144.10941	15.47
2458208.60953	15.47
2458208.78568	15.47
2458208.8597	15.48
2458209.03586	15.47
2458226.04334	15.47
2458226.11736	15.46
2458263.85243	15.47
2458301.25119	15.47
2458301.3252	15.47
2458317.32987	15.46
2458317.50604	15.46
2458415.37475	15.49
2458434.87316	null
2458467.34836	15.48
2458513.40326	15.49
2458513.65343	15.47
2458513.90359	15.48
2458514.07995	null
2458514.15374	15.48
2458514.3299	15.49
2458514.4039	15.48
2458514.58006	15.49
2458514.65406	15.48
2458514.90421	15.48
2458515.15438	15.47
2458515.40454	15.48
2458515.6547	15.49
2458584.33472	15.46
2458584.40873	15.47
2458607.66288	null
2458640.32712	15.48
2458640.40113	15.47
2458771.48075	15.49
2458771.55476	15.46
2458771.7309	15.48
2458794.75786	15.47
2458794.83186	15.47
2458825.56108	null
2458825.63493	15.5
2458863.9736	15.47
2458864.14975	15.47
2458873.90775	15.5
2458873.98176	15.47
2458970.41421	null
2458970.48834	null
2458994.95306	15.46
2458995.02706	15.47
2459026.00781	15.47
2459026.08182	15.47
2459146.62332	15.47
2459146.69733	15.47
2459166.62138	15.5
2459198.84745	15.47
2459315.83399	15.48
2459315.908	15.47
2459339.58763	15.46
2459339.66163	15.47
2459371.82626	15.45
2459371.90028	15.44
2459413.04009	null
2459413.11385	15.15
2459423.3691	14.87
2459423.54525	14.85
2459521.91705	15.48
2459521.99104	15.45
2459545.65983	15.46

