 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 426 4 3 ZTF_r 475357891515 0 1.8866 251.04 5.86453 26.1065 4.2165e-06 0.0229632 0.0984197 7.58933e-06 732 30. 0.052049 0.051902 20.4585 26.1065 1 2458229.8578935 426120215 26.5601469313638 30.7037296560085 0.962263783910316 1.03056044786326 -53.7361985998806 58.1756953507471 -0.929909211449818 1.03861109553807 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 10 426 4 3 ZTF_g 479292661515 0 2.0277 140.129 9.90304 26.1939 1.26377e-05 0.0379247 -0.0211501 2.6851e-05 668 30. 0.052809 0.050711 19.9801 26.1939 1 2458233.792662 426120115 45.6669480945253 45.7626590201485 1.11005766223297 1.05719519464692 115.569508568011 82.3765732300525 1.41239033496299 1.05219890775549 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 11 426 4 3 ZTF_g 489251921515 0 2.6113 140.276 4.82692 26.2155 8.2109e-06 0.0322457 -0.0960632 1.49601e-05 741 30. 0.05324 0.058101 20.4487 26.2155 1 2458243.7519213 426120115 -18.3659195229184 32.3190670882418 -0.632133289740963 0.995300361874185 18.7385735476311 55.7087272107893 0.338632380654047 1.03891937240109 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 12 426 4 3 ZTF_r 489293881515 0 2.3155 256.053 7.12509 26.1102 5.0101e-06 0.0250037 0.0989248 9.1064e-06 738 30. 0.054779 0.054336 20.0758 26.1102 1 2458243.7938889 426120215 -34.1965926722358 37.9543387724947 -1.00225032734917 1.07485924730593 -98.1550127221782 66.010282201537 -1.49698030495469 1.05251782051896 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 13 426 4 3 ZTF_i 490378001515 33554432 1.5935 226.916 9.56154 24.9948 5.7214e-06 0.0392446 0.189981 3.34994e-05 719 30. 0.062752 0.056723 18.9319 24.9948 2 2458244.8780093 426120315 2.93615621542284 41.6361923474749 0.0784445819691799 0.947556314306347 -80.1141955706071 85.7451250919632 -0.94062221264049 1.03764198219742 1.83215108899382 18.7479998207092 0.128000006079674 5.86299991607666 0.675999999046326 2458274.866667 2459295.855810 0
 14 426 4 3 ZTF_r 492250971515 0 9.9166 254.348 6.28883 26.0912 8.5242e-06 0.0328132 0.116466 1.55228e-05 741 30. 0.07636 0.056261 19.9651 26.0912 1 2458246.7509722 426120215 17.2030791533763 46.4776596707015 0.411734005383033 1.04668277081844 1.35441303880544 69.5400881119284 0.0196078999260563 1.109617796821 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 15 426 4 3 ZTF_g 492292771515 0 2.823 143.432 4.89218 26.1763 6.9422e-06 0.029465 -0.0119506 1.29052e-05 729 30. 0.056242 0.049352 20.5858 26.1763 1 2458246.7927778 426120115 -42.5081677841074 28.2792648785131 -1.67208777418086 1.08893440539392 -42.7644900280012 47.2919654730432 -0.910355721064946 1.06985680996692 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 16 426 4 3 ZTF_g 495210671515 0 3.1138 133.315 4.57008 26.1119 1.01828e-05 0.0356612 -0.0153118 1.89358e-05 727 30. 0.064821 0.055396 20.4372 26.1119 1 2458249.7106713 426120115 8.39654396177254 32.5246974946133 0.287172005596808 1.00092095375069 71.9821629556431 49.455393509838 1.46529957243634 1.09355544137667 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 17 426 4 3 ZTF_r 495252011515 8 5.2822 242.898 5.41898 26.0826 1.84832e-05 0.0386545 0.104744 3.32084e-05 491 30. 0.09593 0.07483 19.7091 26.0826 1 2458249.7520139 426120215 99.1681941994433 56.5409090272676 1.95103212152198 0.960897290095758 209.353205466396 71.2096329491925 2.9597570247372 1.26047270353153 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 18 426 4 3 ZTF_i 495295031515 0 6.5592 333.339 6.36447 25.419 6.4437e-06 0.0394825 0.199066 3.78663e-05 658 30. 0.088069 0.068542 18.9958 25.419 2 2458249.7950347 426120315 9.58848149349946 47.4425362233605 0.224820928759727 1.18264396763798 42.8188952071019 61.4078528520756 0.701983230609665 1.14328057006291 1.83215108899382 18.7479998207092 0.128000006079674 5.86299991607666 0.675999999046326 2458274.866667 2459295.855810 0
