 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 689 11 3 ZTF_g 554398424315 0 1.7271 19.7373 5.53336 24.5895 3.54337e-05 0.0631481 -0.0154762 0.000109649 2035 30. 0.046393 0.047325 19.1234 24.5895 1 2458308.8984259 689120143 -11.2730947744731 26.0350660845794 -0.48165855108997 6.14017992095916 76.3433940525502 47.9007374918796 1.60451749238587 1.07251033937491 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 10 689 11 3 ZTF_g 557357914315 0 2.2262 77.6914 4.88651 26.0752 2.0622e-06 0.0153015 -0.0288368 6.36163e-06 2031 30. 0.052467 0.045253 20.8356 26.0752 1 2458311.8579167 689120143 -1.06992114849358 24.1146577682011 -0.049354353828297 10.3383140230805 11.3639971661732 40.5312558690584 0.282264491825127 1.08868640881171 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 11 1730 3 0 ZTF_g 561435560815 0 1.681 226.331 5.14961 26.1368 2.1459e-06 0.0151665 -0.03826 6.47199e-06 2051 30. 0.044194 0.04347 20.8303 26.1368 2 2458315.9355671 1730120108 -42.8307977790307 24.1392206203363 -1.97372990270169 132.286493950368 -10.3340179300585 46.1942370278957 -0.225214632922754 1.05845703317097 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 12 1730 3 0 ZTF_g 561436010815 0 1.5634 227.386 5.08015 26.1332 2.3141e-06 0.0156858 -0.0418874 7.00108e-06 2053 30. 0.046143 0.04777 20.8519 26.1332 2 2458315.9360185 1730120108 -43.8473957419883 24.9676609335566 -1.95353297933541 154.976252704168 -79.4149717060755 48.4873375290452 -1.64888072193605 1.05327835907798 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 13 689 11 3 ZTF_g 563377844315 0 3.1 65.1567 5.30781 25.872 7.1017e-06 0.0280877 -0.0103108 2.20419e-05 2023 30. 0.063054 0.068195 20.2097 25.872 1 2458317.8778472 689120143 19.4857613453376 36.9336503210884 0.58688086151596 24.01291917118 27.4160885103003 54.6040433096566 0.505470580031538 1.15944161432223 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 14 689 11 3 ZTF_r 563423054315 0 1.5732 168.897 6.60859 26.0147 9.6315e-06 0.0327067 0.0776367 2.98364e-05 2018 30. 0.042409 0.040509 20.5333 26.0147 1 2458317.9230556 689120243 -55.365764186233 25.1835439655748 -2.44556524256051 1.92006233004101 -48.8056605887053 50.9259084417061 -0.964820678202385 1.0317059565131 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 15 689 11 3 ZTF_r 566382174315 0 1.4558 225.186 6.46602 26.3211 2.0377e-06 0.0151355 0.0857302 6.28983e-06 2047 30. 0.047392 0.052135 20.9486 26.3211 1 2458320.8821759 689120243 -38.1313779600922 24.1881423277895 -1.75361715515782 4.85855241871066 -184.943739826644 47.9702061728528 -3.88135389462773 1.03647535066357 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 16 689 11 3 ZTF_g 566445644315 0 2.3859 74.571 5.5355 26.0146 2.2665e-06 0.0159897 -0.0230677 6.98863e-06 2021 30. 0.047406 0.042969 20.6063 26.0146 1 2458320.9456481 689120143 -62.1223547541428 25.4134568595684 -2.71918631926913 55.0833339788398 -70.1695896989008 42.2497100542232 -1.67201587495066 1.09925667794197 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 17 689 11 3 ZTF_g 569423134315 0 2.5138 94.4899 6.79392 26.2956 2.4111e-06 0.0164371 -0.00835502 7.44309e-06 2032 30. 0.059717 0.058827 20.417 26.2956 1 2458323.9231366 689120143 -59.5981770631763 44.9086896160876 -1.47624144617348 105.248089393132 -22.3119297203189 69.0052757813939 -0.325514268240294 1.13419308414876 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 18 689 11 3 ZTF_r 569467244315 0 1.5202 229.428 7.14429 26.3346 1.7644e-06 0.0139781 0.0838012 5.45341e-06 2059 30. 0.0504 0.043689 20.8046 26.3346 1 2458323.9672454 689120243 -61.4624147825543 25.8756210076812 -2.64224837031178 2.77041176540088 -120.51417670842 52.6706589657208 -2.30348070452821 1.03477802062551 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 19 1730 3 0 ZTF_g 570385410815 0 2.1312 240.541 11.9704 26.2131 4.8799e-06 0.0226627 -0.0322658 1.47882e-05 2052 30. 0.040921 0.042713 19.7552 26.2131 2 2458324.8854167 1730120108 21.9304070742791 55.3030951235796 0.441115233827661 12.3755098549143 1.10201585433524 97.308662739939 0.0114012253717182 1.06494909350366 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 20 1730 3 0 ZTF_g 570385870815 0 2.2841 245.388 12.0031 26.2387 2.7693e-06 0.017051 -0.0309213 8.39876e-06 2052 30. 0.043803 0.041309 19.7233 26.2387 2 2458324.8858796 1730120108 50.3721918102003 57.4968233327412 0.974544777971722 5.74896570258299 -44.8934222497759 98.3200357273854 -0.459680284869735 1.06582213619807 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 21 689 11 3 ZTF_r 572378884315 0 1.9052 231.811 16.3461 26.361 1.4181e-06 0.012613 0.0768164 4.37468e-06 2048 30. 0.037089 0.040247 19.6077 26.361 1 2458326.8788889 689120243 -34.1263255681827 63.6069798065105 -0.596814760897315 0.974276047202834 -148.740227475603 125.147973805256 -1.19651958327685 1.03259232864705 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 22 689 11 3 ZTF_g 572445354315 0 1.8858 95.048 17.5065 26.279 2.918e-06 0.0181718 -0.0397565 8.98249e-06 2026 30. 0.04035 0.038433 19.526 26.279 1 2458326.9453588 689120143 -16.5134230863825 83.7333456016128 -0.219378198151892 7.69031164319397 -0.137840042827734 152.755355343478 -0.000908435603679915 1.07192276849616 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 23 689 11 3 ZTF_g 575401894315 0 1.7374 90.8609 15.136 26.2459 3.4206e-06 0.0195465 -0.0305699 1.06302e-05 2052 30. 0.04307 0.050115 19.7373 26.2459 1 2458329.9018981 689120143 -63.1362685188418 77.4706010673315 -0.906560487138477 15.8640772937721 -67.9681691558387 139.169456924853 -0.491673533817075 1.07981662546813 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 24 1730 3 0 ZTF_g 575447990815 0 1.5412 250.706 14.7431 26.2597 2.978e-06 0.0180441 -0.0435099 8.97924e-06 2069 30. 0.044828 0.043983 19.7858 26.2597 2 2458329.9479977 1730120108 -62.3659947450829 62.6479538485537 -1.10737767518176 57.6968674980288 9.464251354121 125.534837804537 0.0758991989646041 1.05258553568667 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 25 1730 3 0 ZTF_g 575448460815 0 1.5692 248.166 14.765 26.2577 3.0428e-06 0.0181524 -0.0417057 9.20632e-06 2066 30. 0.052566 0.043323 19.8354 26.2577 2 2458329.9484606 1730120108 -25.0030658137839 66.4886596240788 -0.418312157966978 38.5857432162964 -27.1085508648524 133.54474456956 -0.204359434754095 1.0534923522611 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 26 1730 3 0 ZTF_r 576412140815 0 2.1181 305.566 12.7348 26.2274 2.4242e-06 0.0160868 0.0608573 7.34251e-06 2073 30. 0.039815 0.045423 19.6821 26.2274 2 2458330.9121412 1730120208 120.998450987749 64.7390888138263 2.07906481697807 52.7163062834979 107.981393774472 121.905133095248 0.891747967571681 1.03823462877769 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
 27 1730 3 0 ZTF_r 576412590815 0 1.8436 304.962 12.5508 26.2101 5.4266e-06 0.0240868 0.068258 1.64406e-05 2074 30. 0.039715 0.051663 19.8457 26.2101 2 2458330.9125926 1730120208 61.4660394374272 55.6379953959819 1.2289056958368 4.00591839509887 13.964290332191 111.850002516229 0.125689229456858 1.03604001294836 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 56
 28 689 11 3 ZTF_r 578332554315 0 1.39 223.095 10.016 26.3156 2.1199e-06 0.0154724 0.0826777 6.53859e-06 2077 30. 0.064977 0.056532 20.42 26.3156 1 2458332.8325579 689120243 -48.7428432016138 34.4713847737002 -1.57292106715032 2.5372372994462 -170.900748620601 69.8013126448266 -2.46487878918237 1.03055993790307 0.219379821118355 16.9469999313354 0.0939999967813492 5.53499984741211 0.600000023841858 2458218.989560 2458449.650162 56
 29 1730 3 0 ZTF_r 578368880815 0 1.7324 305.971 9.53815 26.2124 3.3234e-06 0.0186153 0.0727925 1.00836e-05 2073 30. 0.038377 0.048809 20.2122 26.2124 2 2458332.8688889 1730120208 51.9348150762273 38.6366734647832 1.4952494906434 3.80078675653849 -3.9568602018379 78.2585001279374 -0.0509019451745511 1.03466824728801 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 56
 30 1730 3 0 ZTF_r 578369340815 0 1.8104 304.853 9.52172 26.2205 3.5772e-06 0.01924 0.070587 1.0862e-05 2068 30. 0.041994 0.052592 20.203 26.2205 2 2458332.8693403 1730120208 15.7727222552168 40.6241202493203 0.431894315350491 6.19221673553856 -127.913849872133 82.9840672622484 -1.55180821161216 1.03457458624013 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 56
 31 689 11 3 ZTF_g 578454524315 0 2.0991 87.4837 10.6547 26.2138 3.1136e-06 0.0187658 -0.024086 9.63528e-06 2043 30. 0.043993 0.045844 20.1207 26.2138 1 2458332.9545255 689120143 -41.1547423850746 50.0372948794742 -0.914915248380978 38.8156222043587 -2.33589116979012 85.3635470986417 -0.0275483342848503 1.08625358630021 0.344960519500996 17.9360000610352 0.0729999989271164 6.0460000038147 0.449000000953674 2458228.987616 2458332.954526 0
 32 1730 3 0 ZTF_r 579348830815 0 1.8471 303.546 8.38756 26.2176 3.1e-06 0.0180581 0.0683937 9.38997e-06 2065 30. 0.037421 0.04733 20.311 26.2176 2 2458333.848831 1730120208 -41.7099327795263 39.9442639306589 -1.16155524010402 170.871395541808 -144.411361994181 79.9947357915027 -1.81741935125372 1.03511469222654 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
 33 1730 3 0 ZTF_r 579349290815 0 1.7817 302.309 8.40056 26.2124 2.752e-06 0.0169422 0.0705544 8.3402e-06 2069 30. 0.037394 0.048317 20.3377 26.2124 2 2458333.849294 1730120208 -11.2908630444707 36.882973066681 -0.34053050244757 6.2822507668917 -49.9981830678146 73.7582778222248 -0.68243084293178 1.03580118965175 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 56
 34 1730 3 0 ZTF_g 579391300815 0 1.716 254.093 8.12817 26.2651 2.3772e-06 0.0157829 -0.0447486 7.19718e-06 2058 30. 0.039202 0.04511 20.4861 26.2651 2 2458333.8913079 1730120108 -49.3349583934375 35.134631311286 -1.56197531734866 101.135993987732 -87.0476054745775 68.0743066138289 -1.28732675314423 1.05570860388204 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 35 1730 3 0 ZTF_g 579391750815 0 1.5219 254.001 8.08614 26.2662 2.7236e-06 0.016931 -0.0468525 8.23964e-06 2059 30. 0.044774 0.044895 20.5526 26.2662 2 2458333.8917593 1730120108 -28.1674604747455 34.7055046151512 -0.902826153173821 130.139010305477 5.09757109771012 68.3305836715375 0.0751040494108809 1.05277088976599 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 36 1730 3 0 ZTF_r 580407780815 0 1.7288 312.313 7.71073 26.2364 2.7805e-06 0.0173014 0.0723279 8.40189e-06 2069 30. 0.039878 0.041248 20.5059 26.2364 2 2458334.9077894 1730120208 -49.3353177431499 36.115745424982 -1.51955403333155 136.574761451114 -9.69259275488401 72.3898968437254 -0.134796060641111 1.04190188762051 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
 37 1730 3 0 ZTF_r 580408250815 0 1.5031 311.788 7.62413 26.2348 3.2972e-06 0.0188911 0.0729502 9.97383e-06 2069 30. 0.048302 0.051427 20.6158 26.2348 2 2458334.9082523 1730120208 -53.4219088189244 35.5838663002726 -1.67001768048622 424.79478117367 -127.572747512641 72.9095013891427 -1.76152565660187 1.03784828856917 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
 38 1730 3 0 ZTF_r 581364680815 0 1.8715 309.848 7.19085 26.2277 1.6697e-06 0.0133953 0.0731561 5.03463e-06 2066 30. 0.036504 0.038751 20.533 26.2277 2 2458335.8646875 1730120208 -87.9077293729884 38.1433544550378 -2.56367506832601 243.942698674671 -114.22901989246 72.4683742085604 -1.58687648466671 1.0518992536796 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
 39 1730 3 0 ZTF_r 581365130815 0 1.8368 310.279 7.13391 26.228 1.6689e-06 0.0134407 0.0748798 5.02249e-06 2065 30. 0.035453 0.037888 20.5552 26.228 2 2458335.8651389 1730120208 -141.130277742014 38.5208583948976 -4.07548257833791 192.603351618943 -167.437454938359 74.3284099442629 -2.26784288749444 1.05036334616724 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
 40 1730 3 0 ZTF_g 582286240815 0 1.7487 269.102 5.00624 26.3437 1.5822e-06 0.0130012 -0.0521399 4.78824e-06 2061 30. 0.036634 0.036734 21.0734 26.3437 2 2458336.78625 1730120108 28.6472712966875 21.0815199991445 1.51159741761068 62.5537221953997 67.4415194152039 41.0114734719762 1.65553042065414 1.04988518244511 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 41 1730 3 0 ZTF_g 582286700815 0 1.8096 269.557 5.04253 26.3442 1.4986e-06 0.0126124 -0.0501453 4.53468e-06 2059 30. 0.037512 0.03672 21.0463 26.3442 2 2458336.7867014 1730120108 1.50778588967509 23.825348893724 0.0703971709890079 47.1430649097704 -2.9674207326169 45.8115946231834 -0.0652107071703972 1.05366775956424 0.299344119773138 17.9749996185303 0.0769999995827675 5.50099992752075 0.591000020503998 2458307.975579 2458766.760486 0
 42 1730 3 0 ZTF_r 582363720815 0 1.7329 323.57 6.57897 26.2733 1.4488e-06 0.012492 0.0763038 4.36731e-06 2066 30. 0.037249 0.037063 20.7733 26.2733 2 2458336.8637269 1730120208 -122.678305880595 34.4724354594791 -3.95868188634915 40.1156383891688 -109.04624193708 67.7085981332776 -1.6213697769137 1.04742691390791 0.224156699675705 16.9939998626709 0.0879999995231628 5.39900016784668 0.705999970436096 2458271.932951 2458757.751204 0
