id,ra,dec
SN 2025hlf,185.9885269576657,8.763203076474348
SN 2025mbp,151.59258155968166,1.1583334010976534
SN 2025hlf,185.98852305065634,8.763210957025105
SN 2022and,150.02772046270303,3.7568883682336343
TDE 2018hyz,151.71199219490367,1.6927875596017365
SN 2025mbp,151.59257968790465,1.1583349887200571
SN 2025hlf,185.9885222759368,8.763210159176577
SN 2025mbp,151.5925787772887,1.158328777812482
TDE 2018hyz,151.71199074831256,1.6927760569545407
SN 2025mbp,151.59257891450594,1.1583230163050986
SN 2022and,150.02727924147476,3.757105282227618
SN 2025mbp,151.59258269417936,1.158336006078109
SN 2025mbp,151.59258210001013,1.1583314546095491
SN 2025mbp,151.59258461644018,1.158326331969271
SN 2025hlf,185.9885238018117,8.763209705258399
SN 2025hlf,185.98852345314916,8.763206377352834
SN 2025hlf,185.9885257866466,8.763201263017224
SN 2022and,150.02736558904886,3.757268112550088
SN 2025hlf,185.9885261861473,8.76320846794194
SN 2022and,150.02718191139454,3.7571565483459395
SN 2025mbp,151.592588557289,1.1583225689171535
TDE 2018hyz,151.7119053572508,1.6929866612208528
SN 2025mbp,151.59257951482942,1.1583349512890457
SN 2025mbp,151.5925823998322,1.1583323434104336
SN 2025hlf,185.98852255870577,8.76320814912579
